id	text
R_YaGQavcwqIx8Ec9	paint kangaroo capitalism aspirin dictionary law flower mercury mountain oxygen
R_1ib2WS6c3oC7Yn2	cup book pen foot egg tree dog computer clock ring
R_PLPzMyaGNx4OGg9	pig girl programmer park music basketball dress sun river love
R_bORrxwjxVxUfp1n	water pencil ipad cloth light night pink spanish music tutorial
R_RwVVJ0GFQ9Wi87v	shoes pencil racquet stove bags lamp box laptop clock flower
R_2e44X5Tu93G4Fno	chair chairperson spokesperson president leader head convenor spokeslady emcee speaker
R_3fZuqdl4dGR9Itq	Pillow Concrete Pencil Fox Computer Glasses Stomach Tango Bamboo Tattoo
R_276Yoyb0ovmc6eQ	Chair Homogenous Spell Liver Pipeline Tennis Hue Root Treble Pin
R_3m9ydtXQTR3xesk	water earth computer pepper paper Newton snow whiteboard yogurt box
R_9FYnnfnczUtuNB7	blue helicopter mushroom diamond circle iron galaxy language hate scallop
R_1KrLH7y3QylI6wP	table saxophone potato corgi mirror blanket stiletto toy bidet road
R_1Nk0VcyE5sKROaM	bowl paper parachute jetski wire chemist censorship death weight flour
R_1gkLnpfcMWPE0LF	vegan university blanket fireplace coffin newspaper zoology brain olympics gingerbread
R_2dLVrWGEGGXiltd	balloon shoe magic jazz tissue water slapstick central fork retainer
R_yTIzVMxaSZPaJot	food clothes view light fur box seeds knife alcohol  instrument
R_2zHAm26Kca3Qlx4	hat desk moon brick lemon rabbit paint gas needle tissue
R_3QQzIzFRO4GTp6I	watermelon philosophy aglet molecule family harlequin rebuttal cement impostor knuckle
R_2Pw01qdfnXeD9FB	CAT BOOK MUG NAIL BAG MOTORBIKE TRAMPOLINE HEADPHONES CANDLE COMPUTER
R_3R8dR8ZbHUdXYNc	bag cube phone pillow sugar rubberband cream shorts cake perfume
R_3CUAdWbrs28hvBS	Psychology Log Notebook Tea Painting Headphones Pillow Luggage Lava Coconut
R_1CC14aeBb0d3hOR	space glasses paper animal hat humans table fire cold dead
R_1g2vEWoJxyfHmbN	Wine Rose Bicycle Stalagmite Toenail Sourdough Kohl Aluminium Hypnosis Caffeine
R_zfiHFJV6dSrWpHP	stone space human water air star tree animal earth fire
R_3nCXqa30LLEgBd4	laptop frog galaxy dictionary salt letterbox banana toenail valley hexagon
R_1CpFDdiF4aTd1if	apple bin table air paper hand tree metal lamp rubber
R_2f7KOyntLJ6C8PH	icecube camel parliament bulldozer plug honey thought fence lampshade tree
R_yX8PewyQZLjUCRz	Phone Pizza Mountain Dog Train Book Treadmil Jumper Guitar Sunscreen
R_1jNjr4UK3atqwVi	Computer Desert Fountain King Stalker Painting Plastic Road Triton Platypus
R_3fJpUbsHgW04DGh	ideas things thoughts problems dreams goods shops books reasons tools
R_1oBecgNrwp9YQQu	BOTTLE LAPTOP PAPER FORK RUBBER WALLET MIRROR FINGER CURTAIN PIANO
R_3FPXVipCmdpNoLd	dog poop planet apple lips eclipse  mug superman laptop paino 
R_2CZk7afe94EGSuu	sadness broom toe nail soil shallow nectarine  shard  moist narwhal  communism 
R_1dtnZJDjL2GcG4W	shoe sun  chair  bird  class  party  online  pen  cloud  beach 
R_tDmoYL1i01lK8PD	biscuit car biology laptop tablet book chairs pen bottle water
R_eJdcUSeRWxSC3SN	Table Skates Keyboard Needle Water Ball Lotion Titanium Guitar Lab
R_3QFpUT3OifgxTjB	Table  Doctor  Fence Laptop Scarf Cow  Sleep  Shoe  Journal  Eyes
R_1jEbs43YurPKyIi	Cat Pizza Phone Duvet Hinges Blades Water Theory Demand Dark
R_9vNfEYmmEmPXVwB	Shoes Pet Equipment Hip hop Cup Dinosaur  Jewellery  Depression Development Word
R_W6WJXdYE6bk1FGV	book television shoe mobile phone baskeball body builder hometown mother Christmas holiday
R_291f1fe4TC8J4zt	shoes books detention bags pencils pens boards music player woods laptop
R_21vqKr07VVUcgH2	Pedantry Armadillo Responsibility Furniture Tether Electron Lifeboat Obfuscation Greenness Seasoning
R_2rqkwTUF0E8SejO	cat dog apple pear orange  kiwi banana pink yellow green
R_tLHdWgKEjBrVHUt	cat toy food shirt plane house pencil glasses picture movie
R_3PMg1R8EzgXmKUq	apple pen container electricity  steel  number  clothes  door lipstick  visa 
R_3nqJQTCtUVeuxrn	music art science commerce building sky grass computer hotel novel
R_4Zrk1LO70CeD7Zn	chair head alley deadline puppet powerpoint carbon church flower prison
R_29n1PT9ai92BbUe	paper food family earphones pins friends album music sunset camera
R_viaSaxBxkdQhma5	cup bed book shoe spring spoon moon plane motherhood glass
R_yJ9uEZEOsJpZT69	Pillow Cat Car Flame Bread Toothbrush Brick Wall Sweater Stairs
R_b8CJfDZQpYzPKyl	bottle photograph ring airplane eyeball hotel bacteria comet lava mango
R_1F9tvmTHLJq2mqt	milk toy women country money room plastic bone ash star
R_3n1bJ3fDjYR7smY	Sky Fish Rice Name Wall Plate Gun Weather Mountain  Cloth
R_1nUeV7DyYS38BCy	water shoe sky computer bag hair ring light car farm
R_2WwM2eMbGsjT3Dw	trees materials animals buildings vegetables cars planets books tools inventions
R_1OqMPsEWhkYnW5Q	pen road bottle computer country poster gun lipstick knife plane
R_3HCCfZk84swdvM7	chair school earphone cat dog sleep food hamburger korea music
R_1LebZ1Hi3nl8tlj	High heels  Light Computer  Pen Air School Criminal Children Piano Policemen 
R_2dhfT7nYCvvUelS	bank fruit foot bag chopsticks book hanger fireworks star computer
R_30jlHwfRrIkzt88	subject number words clothes adjective felling size sports playing height
R_Wjpcfpb5tORgYBH	Cat Dishwasher Sock Wood Jeans Leaf String Toothpaste Fire Nail
R_2wuac7DOR7Jco7U	shirt cat apple desk wall sky flower book chromosome confidence
R_VOwZbs3BakIwyvn	shoes food eyes tree light space knowledge bed kiss sponge
R_U9LfgDfj4OFFz1f	Foot Glue Cat Virus Mountain War Violet Democracy Football Gravity
R_24DjXn8SlPjOe7z	pen nail chair weather psychology physicist dream cather soap opera university
R_2dXdbUQg8NYeV2L	Boat Country Board Sheet Tissue Planet Key Colour Glass Program
R_erCr0YvuEsbwTOV	Cat Homework Building Dirt Shorts Eyeliner Ball Airplane Pear Dishwasher
R_Cm26V4GQNcjFcqZ	happiness sadness face  nose  toe book shelf tree sky star
R_233q3VCPnsmQ6xN	sun table children rabbit red computer cup fire highlighter happy
R_1nPIZgz7bBOf0rv	man pen room fruit shoe city fish lecture biology website
R_29cXtHxG4EjCFvB	father sky star earth ground line data passport tiger good
R_22E4cpwNemYjEjK	blankets abstract knife basketball donkey taco river see-saw foot television
R_1o7PLrxSTHpVbUt	cat watch drink bottle phone bag chair book leggings rings lipbalm
R_yVe3d30IVCQbwXL	Orange Candy People Wood Underwear Furniture Sock Cable Nest Eyeball
R_1FR4wFKoFkRhrmc	study life friends family world freedom love dog cup phone
R_0lk8VMw4UcCIN4B	pen apple mouse cloud grass car paper dog water fire
R_Xwc5xt8gby781Ql	lion computer hair toner wall pool bus trainer gym pillow
R_2ZDGlR1nSHl1d9P	apple cup dogs umbrella buildings confidence show clips sofa tears
R_301R6BxsKNSw7SW	sun phone book hair  water air job bank map guitar
R_3fuyQ4J54KJS4FH	RABBIT socks homework turner lipstick summer politician myself laptop pizza
R_3CUyzsWdjShyv39	burger rabbit harm clouds male tree chair fanatic statement  severity
R_11XB46TLEcjuxQ8	shoe hair apple kitchen orchestra girl lightbulb crystal walls atmosphere
R_1CEDW1q00hAb8Av	apple  diswasher shoes conception belief basketball player riligion king zone monkey
R_1PbYlzUAz9XJ23C	apple wallet headphone tissue melbourne uni indian food fibre coat hanger shoes tram
R_3DcCkzoxRD2YZPE	Physics apple wood heart fairies death sound mile jeans sadness
R_2uCicKXIkKG79MW	Shoe Keys Clothes Pencil case Bottle Phone glasses papers photo frame files
R_AhT1mludyP6UnAd	pizza pillow train germ hair earth air electricity handbag pigment
R_3Rw1g1hXlg7W0nn	water pencil cat cello ribbon mountain ghost maze neuron book
R_22lHaEws9216EUz	Pillow Car Medicine  Chopsticks  Lighter Compuet Desk Glasses Handcream Tissue
R_3rGvtH3AH8KTTd7	bread candy cake fish grass flower toy  pen shoe hand
R_1eKIO2quBT8DWFI	Gum Headphone Paper Cat Hair Smile Drinks Gun Garbage  Bennies
R_r2XLdtfAvQXFDpf	white dog school wind knive grandmother jeans metal moon witch
R_dfXeHNzUglqgmeB	Rulers Papers Rubbers Pens Pencils Book Pens Pins Laptop Keyboard
R_3p2N5TyLOObYorw	apple planet mole song button driller thumb symbol board wool
R_1gI7dQgzYhSYXSh	history eye founder poster window bed theatre hammer tree food
R_em0gB0n8x6RoB33	orange sandal chair bag lego laptop planet nitrogen tutorial plushie
R_A4fO3VhF5QPcc4F	elephants banana sky shooting crabs children soundtrack football handclap television
R_30i8zRM2YXMXICb	Atom Concept Cloud Homosapian Botany Pharmacy Child Thing Hope Meaning
R_2B5Sfae5sbRFfgc	umbrella  fountain  spring  July  river  colour  wonderland  fiction  tennis  confidence 
R_2zYHFdB6hKj47rq	apple phone cup paper ear chair stair cloth window street
R_1hWigBf9VzKYmK0	universe elevater dumpling tree ash battery child eye wind webpage
R_31H5WeZvUkV9qC8	tree stapler photo hairdryer scarf door wand boat potato eye
R_cUwluKqTQjmucQ9	happy fly computer finger mirror  bottle  cake mouse rainbow  paper
R_2rZRoGu0jMGd6vs	horse cup earphone English Teacher table sweater family phenomena Japan Textbook
R_p3lvXPNL5pfnR73	dog book sun car water magic wood air bread sadness
R_DUzHvZGJBLdIIyB	animals foods clothes  rooms job habits ability light happiness school
R_2bP4geiNihEw204	apple car sky computer body hate tip element carpet alarm
R_1iswkELphTtaEIz	dog chair alcohol clothes  dvd phone  grass weights  milk  book
R_3nH6WZbVsJ0YSEe	chair country ant chandelier song element bread hair phone grass
R_1mmFRIPoRnk4psf	Love Computer Venus Mole Witch Seaweed Dentist Tablet Cloud Truffle
R_9YnPT2v3qCNZwTD	cow ice  foot child  jacket donut rainbow blue fan phone
R_7X9SaB3F6TTFuHT	Psychology  Pen Ear Flower Chair Glasses Ice Beef Bag Key
R_3Rr0NZ4fLmP6r0W	fork spoon town village grass tree spork knife human train
R_PSAH3Es1Zk6Rm4p	Tree Phone Bed Pickle  Hat Ant  Seismograph  Helium  Treasure  Marimba 
R_3Gm1Edv78c2V4Zp	book shoe animal  boy text web computer pen coffee cup
R_1F8JgzUTVH2ohMv	Television Mouse Candle Backpack Sandwich Teapot Bouncy-ball Bathtub Astrology Lava
R_2q44GGuOQXiKx5R	computer family chips balcony hair fullstop apple history zoo well
R_3fotPk3kp1Y7tc1	shoe potato rhythm human leukemia nose flowe orc dog thread
R_24GYZ1e4ET6ElrF	purple bag table sky shampoo shoes dog stairs spinach  Spain 
R_332bw2Sp952IgHg	Car Cow Blanket Chair Pen Fingers Heart Lightbulb Night Weather
R_UmqYpRtXkiIT1NT	virtue index stapler criminology overalls precipice  crunch purebreed  belief divinity
R_1Cqi4Ouy8HpF1An	Apple Orange Chapstick Handphone Bottle Vase Television Chair Table Monkey
R_2s71yGZA2ZfM9eJ	house animals female apple water sun teacher river  
R_2czqcWHBpLPnoPJ	water sky duck pen clothes class house umbrella china dirt
R_1nSHBZ48jjgyMj9	coffee weed basketball drums games family journey fire water oxygen
R_3hbwsFOjnOSU792	trap bird orange abacus hairclip snorkel stove photocopier podiatrist questionnaire
R_1Ow7NTVjxP6RL0o	Love Table Uranium Peptide Quartz Avtur Zebra Limbo Hearken Speed
R_3iBWQZcMzbZfQCV	shoe table glasses pencilcase pencil charger mouse book phone internet
R_42uAZBtzTbQXWWB	shoe food nail mirror book store cat lamp phone tree
R_2Ez2oqcOkLorRz0	shoe nail unicorn bread book telephone plant sand wallet person
R_3EKHRQ3ercpMEgk	dream mouse computer map bulb niddle cigarette stone car closet
R_2aqVuf1ZVG4Bsv8	house  ocean  chair  phone  book lecture  ruler  cash  umbrella  shoe
R_2ZX57lE1fOP0Bli	young old loud quiet big small round  square up  down
R_RPujTb0wKdtJNKN	happiness chair wallet pool chicken tower tv truck farm apartment
R_Y5HZTZA9RrrX0Wt	universe shoe bird school building waterfall red square TV air
R_1lrV0CwXDjELxBY	lip-balm calculator alligator crayon cactus friendship eyelash tunnel keyring eggnog
R_2bTcBjxKgZccSMZ	Red Cold Love Me Basket Head Towel Teacher Bag Wet
R_PLjXw8eSTJ9fU5j	university candle dog book car door bicycle fork projector microphone
R_1IW7aMecSwKs8au	facsimile elderflower stockings spatula hairbrush salmon paperclip exam brick coin
R_2uX2zMBJmCYpnhu	record faeces eyeball fibreglass lavender gin myki breadcrumbs horoscope splinter
R_1I6h1PGKj4DgYmO	car charger head brick food diamond lily app village forest 
R_w1axJqVRPKnWzUB	hoodie  chocolate  bottle  computer  book  pillow  hanger  fridge  balcony  hospital 
